Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2021-12-27,107.09486046927111,107.64256549002563,106.34632864920225,107.57866668701172,415500,0.0,0.0,
2021-12-28,107.88904425609253,108.4458797031439,107.505644448758,108.3819808959961,500500,0.0,0.0,0.00746722592613569
2021-12-29,108.35458468336525,109.12137729791982,107.99857606518013,108.9753189086914,452000,0.0,0.0,0.005474507919030147
2021-12-30,109.2948168740724,109.2948168740724,108.43674127218335,108.92054748535156,387400,0.0,0.0,-0.0005026039280118244
2021-12-31,109.05747723416006,109.65082724576469,108.29068462846175,109.12137603759766,565400,0.0,0.0,0.001843807774406514
2022-01-03,109.31306062974448,109.31306062974448,107.50562658378557,108.79273986816406,713600,0.0,0.0,-0.003011657123168643
2022-01-04,109.10311651704261,110.29894694439652,108.89316628808591,108.9753189086914,762000,0.0,0.0,0.001678228168061624
2022-01-05,108.97532616135717,110.11638128646773,108.82927472685587,108.85665893554688,695000,0.0,0.0,-0.00108887016191217
2022-01-06,109.86077514765073,110.22591414433089,108.66495172385912,109.14875793457031,874600,0.0,0.0,0.0026833360667113393
2022-01-07,108.39110236989129,110.04335486400333,107.46913487828765,109.25830841064453,1023100,0.0,0.0,0.0010036804645994213
2022-01-10,109.48652622635491,109.72386068368333,108.02597005952916,109.67822265625,941600,0.0,0.0,0.003843316373041583
2022-01-11,109.95206789345157,109.99771288374673,107.61518925085167,108.42761993408203,954800,0.0,0.0,-0.011402470717341684
2022-01-12,108.27241681157416,109.04833274282498,107.41434130684347,108.82012176513672,1246700,0.0,0.0,0.003619943251482516
2022-01-13,109.13050555733165,110.45412660274266,108.75623616557777,109.38610076904297,608000,0.0,0.0,0.005201051007163837
2022-01-14,109.24004451583242,109.30394332000803,107.89816266369742,108.9753189086914,690300,0.0,0.0,-0.0037553387264336324
2022-01-18,108.29981851701413,108.7562405461534,106.93055242959626,108.0624771118164,868200,0.0,0.0,-0.008376592112933845
2022-01-19,108.2267731958671,109.16700132149515,107.61516943941244,108.32718658447266,543600,0.0,0.0,0.0024495965642388207
2022-01-20,108.61019344598273,109.751248564297,107.79775579445104,108.04422760009766,714300,0.0,0.0,-0.0026120772937673342
2022-01-21,108.58278965121512,109.62343124099651,107.9985700557044,108.135498046875,746500,0.0,0.0,0.0008447507914550734
2022-01-24,107.71559459897863,108.50064101507611,103.89990630833523,106.69320678710938,1227000,0.0,0.0,-0.013337814924941793
2022-01-25,105.3969832865249,108.13551569919402,105.3969832865249,107.37785339355469,1450100,0.0,0.0,0.006416965306998534
