Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2021-12-27,196.00100895097742,198.99834515605343,195.14189094130705,198.9315185546875,184602,0.0,0.0,
2021-12-28,199.2178797948552,200.51608986709178,198.68332527667278,199.85743713378906,127059,0.0,0.0,0.0046544589104267065
2021-12-29,200.2679041325215,201.31315482986616,199.60925141194616,200.5924530029297,104870,0.0,0.0,0.003677700863583988
2021-12-30,201.3370061907685,201.84292487289804,197.6046506134966,198.01512145996094,103135,0.0,0.0,-0.012848596766156017
2021-12-31,198.45420434886384,200.17720302137414,196.92690795936142,198.80740356445312,75723,0.0,0.0,0.004001119200648384
2022-01-03,200.00063831001884,200.28701097431343,195.30417613835155,195.9628143310547,215087,0.0,0.0,-0.014308266102757261
2022-01-04,197.2419376560178,202.22477234124267,195.5428116822611,199.98153686523438,246847,0.0,0.0,0.0205075771538501
2022-01-05,200.08655794854866,201.67114083088393,194.72190227653218,194.95098876953125,225762,0.0,0.0,-0.02515506268507761
2022-01-06,194.88416470071402,195.30417599931124,190.41678901124777,195.02734375,470103,0.0,0.0,0.0003916624427025006
2022-01-07,194.73144232861762,195.68600822238534,190.64590146853328,190.95135498046875,249535,0.0,0.0,-0.020899575880785948
2022-01-10,189.79633041510908,189.79633041510908,186.62716478977543,187.40037536621094,407304,0.0,0.0,-0.018596252509551547
2022-01-11,187.55309555500347,191.5384109221445,184.88030824158727,191.22817993164062,393347,0.0,0.0,0.020425810556406576
2022-01-12,192.38318963058114,196.44009437984923,188.52675011304623,193.20411682128906,601227,0.0,0.0,0.010332875051965562
2022-01-13,194.64551081976762,194.67414662779734,190.34040984940586,191.01815795898438,307275,0.0,0.0,-0.011314245774207143
2022-01-14,188.99451870408163,191.43820521878683,185.53898004187835,190.96092224121094,452027,0.0,0.0,-0.00029963495818929875
2022-01-18,188.93720384733606,191.35226874775,188.04946463517717,189.97769165039062,302174,0.0,0.0,-0.005148857574003296
2022-01-19,190.08269777460242,190.82725795435482,187.57696247894984,188.3931121826172,455014,0.0,0.0,-0.008340871257081495
2022-01-20,189.09949608860578,190.39770619549137,185.01395551571974,185.2430419921875,419984,0.0,0.0,-0.01672072908576505
2022-01-21,184.89941412870988,189.7677061031535,184.56646090957656,185.8348846435547,454657,0.0,0.0,0.0031949521288479055
2022-01-24,182.933024352034,185.43398256587838,178.0026974599475,185.41490173339844,404590,0.0,0.0,-0.0022599788568320456
2022-01-25,182.22663059067926,182.95211002092458,177.19607861626662,178.76156616210938,499517,0.0,0.0,-0.03588349970303717
2022-01-26,180.87113489141606,183.22891372847155,176.02193857966108,177.77835083007812,359588,0.0,0.0,-0.005500149462438819
2022-01-27,179.2770156980162,180.16476954100972,173.3491697364121,174.44691467285156,226261,0.0,0.0,-0.018739267979883456
2022-01-28,174.1032296198977,174.4755096435547,171.1822610395863,174.4755096435547,579704,0.0,0.0,0.00016391789305503224
2022-01-31,174.3418991933083,178.88562721151223,171.83138644862203,178.78062438964844,535512,0.0,0.0,0.02467460765633467
2022-02-01,180.01205248985292,180.32706100802434,176.90017266917647,179.97386169433594,252188,0.0,0.0,0.006674309974926906
2022-02-02,180.65159553418763,181.24342172781155,178.5038222715619,179.80203247070312,295650,0.0,0.0,-0.0009547454392274668
2022-02-03,179.69702495568757,183.27664696675703,176.22240577289688,177.00514221191406,394623,0.0,0.0,-0.015555387335484006
2022-02-04,177.1196928646393,180.63248813145847,176.85241559718648,178.21743774414062,468698,0.0,0.0,0.006848928325343007
2022-02-07,177.5015121571509,178.89518466978421,175.94557976772924,177.07196044921875,283640,0.0,0.0,-0.006427414227368589
2022-02-08,177.4919573850002,180.6897438991728,175.75464073345063,179.9642791748047,287234,0.0,0.0,0.016334143013090996
2022-02-09,182.04525491579423,184.5748485261316,181.88296590786896,183.37210083007812,414419,0.0,0.0,0.018936100380027687
2022-02-10,180.12656031688226,182.93298604904058,176.8142158850375,177.98834228515625,309065,0.0,0.0,-0.029359747314618656
2022-02-11,178.73291187021812,178.9047267287627,173.8264440696895,174.98146057128906,348471,0.0,0.0,-0.01689370031352866
2022-02-14,174.59964372794784,176.0219375274744,172.3850439567778,174.971923828125,476244,0.0,0.0,-5.4501449084476405e-05
2022-02-15,176.9383396881364,178.67564209017755,175.66876526542325,176.85243225097656,290832,0.0,0.0,0.010747486692200825
2022-02-16,175.90738621443182,178.00742808228802,175.90738621443182,176.90968322753906,240451,0.0,0.0,0.00032372173700867535
2022-02-17,175.1246702304496,175.88354838958702,172.65233342590022,172.68096923828125,295333,0.0,0.0,-0.023903236454382748
2022-02-18,173.2155508357684,174.38010794249254,170.85777167683918,171.201416015625,359843,0.0,0.0,-0.008568131330179307
2022-02-22,170.8004761221107,171.96028480540286,168.26134179939467,169.3113555908203,303122,0.0,0.0,-0.01103998126179162
2022-02-23,169.83636276258204,170.74319745224858,166.810390614884,166.81993103027344,348441,0.0,0.0,-0.014715047031859885
2022-02-24,164.13760408532139,169.1013438671393,163.00166833042343,168.13723754882812,337947,0.0,0.0,0.007896577527751303
2022-02-25,168.37727126011157,173.9853622152873,168.37727126011157,173.45721435546875,335990,1.05,0.0,0.03164068164909439
2022-02-28,171.09492794422206,173.85095652828167,169.863354412204,171.1717529296875,328165,0.0,0.0,-0.013175937560588324
2022-03-01,171.08532279068604,171.90156075122724,167.62827186113782,168.99188232421875,502705,0.0,0.0,-0.012734990254871015
2022-03-02,170.845250158787,174.840061308723,169.24635860958583,174.14865112304688,338127,0.0,0.0,0.03051489058471235
2022-03-03,175.40662082757797,175.91557348856213,172.50654016571,173.5436553955078,357608,0.0,0.0,-0.0034740190270643456
2022-03-04,171.5462257487595,174.00456610144224,170.92204303445925,173.69728088378906,297630,0.0,0.0,0.0008852267628634003
2022-03-07,173.98538691611083,175.512259606433,169.99059046409084,170.5187530517578,366311,0.0,0.0,-0.01829923770745623
2022-03-08,171.62309593192546,176.2805100830488,170.3747155215644,172.1128387451172,278172,0.0,0.0,0.009348447984929287
2022-03-09,174.85925686655762,176.17486453892093,172.99629134376127,174.1678466796875,361109,0.0,0.0,0.011939887515385106
2022-03-10,171.9783775681467,172.804227770281,168.94385685771218,172.75621032714844,315937,0.0,0.0,-0.00810503419230535
2022-03-11,173.32283931507584,175.5603179603021,171.03734321380594,171.1621856689453,238552,0.0,0.0,-0.009227017976283003
2022-03-14,172.04561350996633,173.41527561051376,170.7204082082406,171.7767333984375,150676,0.0,0.0,0.0035904410024349964
2022-03-15,172.66980240294325,175.15695084830259,171.7767394267814,175.12814331054688,269998,0.0,0.0,0.01951026687843549
2022-03-16,176.76062938506544,180.5345629495174,176.46292710583697,180.17926025390625,397388,0.0,0.0,0.028842405611543942
2022-03-17,178.83486669927692,181.3940486722004,178.40273897495632,180.7554473876953,344703,0.0,0.0,0.0031978549194680017
2022-03-18,180.02563610663026,182.25350213651106,178.22989781092477,182.05184936523438,489463,0.0,0.0,0.007172132271944465
2022-03-21,182.06142977395004,183.37703741503523,181.03392679888944,182.3975372314453,319205,0.0,0.0,0.001898842925332822
2022-03-22,183.00253861906992,183.18498147674836,179.54548750573989,179.5742950439453,387761,0.0,0.0,-0.01547851045772386
2022-03-23,178.0186165957789,178.12424911257517,172.72740778107496,173.2747802734375,469338,0.0,0.0,-0.03508027008523795
2022-03-24,174.2254859905598,174.83047365145103,172.57379992866967,174.7920684814453,357990,0.0,0.0,0.008756543829479657
2022-03-25,174.7632376009028,179.0461241487088,174.38872496866983,178.95970153808594,341759,0.0,0.0,0.023843376263283034
2022-03-28,178.0570153741068,179.91998079286677,177.24077745801415,179.86236572265625,254398,0.0,0.0,0.005043952223949155
2022-03-29,181.61971296231837,184.56300513841663,181.61971296231837,184.21249389648438,330748,0.0,0.0,0.024185872104762085
2022-03-30,183.5787006274745,184.55820086687592,182.07105242886794,183.0697479248047,314325,0.0,0.0,-0.006203411872388154
2022-03-31,183.27142224822447,183.93881643323405,176.14605483658175,176.47256469726562,416571,0.0,0.0,-0.03603644677682538
2022-04-01,177.8553590881088,179.07491712426565,176.09802621733706,178.18185424804688,249064,0.0,0.0,0.009685865639871505
2022-04-04,177.63451541090902,178.55640064903062,174.71523902044999,177.8745880126953,188394,0.0,0.0,-0.001724453012616034
2022-04-05,177.25036840920467,178.22025624457157,173.9757752821613,174.53274536132812,228275,0.0,0.0,-0.018787633965615558
2022-04-06,172.83303108329162,175.6947065119781,172.53774652718303,175.42581176757812,202524,0.0,0.0,0.005116898862738362
2022-04-07,174.46553801253657,177.60569145648947,173.75973869526933,177.04872131347656,292444,0.0,0.0,0.009251258577891885
2022-04-08,177.24080818556826,178.9693192030139,176.0308328899137,177.087158203125,250631,0.0,0.0,0.0002170978099320653
2022-04-11,176.44373143833204,178.90207207296376,175.2769676773122,175.8003387451172,259765,0.0,0.0,-0.007266588221669812
2022-04-12,176.51096438617063,178.6044049389776,174.14625529397364,174.34071350097656,262313,0.0,0.0,-0.00830274420720456
2022-04-13,174.36953265321227,177.2600014832217,174.36953265321227,177.0391387939453,183790,0.0,0.0,0.015477883729973607
2022-04-14,177.23118693710782,179.18057520051764,176.94952950690546,177.65371704101562,298960,0.0,0.0,0.0034714258737194026
2022-04-18,177.0871407420829,179.44944671452865,174.3983249259224,175.0513153076172,256457,0.0,0.0,-0.014648732245763352
2022-04-19,175.71392217900978,181.20199260418565,175.68992078167483,181.1299591064453,239429,0.0,0.0,0.034724925020678254
2022-04-20,182.66644096919651,185.40327446898007,182.66644096919651,183.41546630859375,208690,0.0,0.0,0.012618051775771244
2022-04-21,184.81749099160845,187.59272957380486,184.30852361505106,186.44998168945312,429272,0.0,0.0,0.016544490178128424
2022-04-22,184.6062285656866,185.87380425218578,182.9641255629365,184.12608337402344,997532,0.0,0.0,-0.012463923537950894
2022-04-25,183.43467610491533,183.43467610491533,177.7017412511205,181.82138061523438,521560,0.0,0.0,-0.012516981388820514
2022-04-26,182.18627078376662,192.04845593712002,182.18627078376662,187.5350799560547,562104,0.0,0.0,0.03142479350605898
2022-04-27,187.52549046225016,190.0030412190424,186.40195255850728,188.53379821777344,596864,0.0,0.0,0.005325501031341773
2022-04-28,190.88650401539172,195.75518285328164,188.31293305348254,195.62074279785156,501969,0.0,0.0,0.03758978308967209
2022-04-29,194.46839565683462,195.52250833160275,186.9397227461572,187.60232543945312,362655,0.0,0.0,-0.04098960694922027
2022-05-02,187.5927380541637,188.60583740657438,183.0217463101195,186.68045043945312,261080,0.0,0.0,-0.004913984929773796
2022-05-03,186.13307217349373,189.10036570877284,185.06714934541023,187.33343505859375,286864,0.0,0.0,0.0034978735995305765
2022-05-04,186.69964510815072,192.6534422525297,186.3971513082709,192.2501220703125,221080,0.0,0.0,0.02624564595306178
2022-05-05,190.56959876916028,192.0772615075933,187.29021398535784,189.06195068359375,248430,0.0,0.0,-0.016583455721046136
