Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2021-12-27,238.05917482236177,240.32881889380803,236.78311222324976,240.12425231933594,807000,0.0,0.0,
2021-12-28,240.60155275436605,241.41978928555824,237.32859176608184,237.92279052734375,1004400,0.0,0.0,-0.009168011022329003
2021-12-29,237.69874623419997,241.4295331261627,237.3285852530267,240.63076782226562,939900,0.0,0.0,0.011381748208819209
2021-12-30,240.65027435209257,242.81276735441915,238.61441850956956,238.80923461914062,859100,0.0,0.0,-0.007569826666847579
2021-12-31,238.80922863735373,240.59182497913483,237.4260149714751,237.70849609375,1073400,0.0,0.0,-0.004609279566370694
2022-01-03,236.01356718348302,236.93896970138442,227.27594514740915,227.96754455566406,2772700,0.0,0.0,-0.04097855860500754
2022-01-04,227.95778720175358,227.95778720175358,216.385530234016,219.288330078125,4664000,0.0,0.0,-0.038072149675761446
2022-01-05,221.11964642392206,221.11964642392206,210.01496528019743,210.95008850097656,4749400,0.0,0.0,-0.03802410084557539
2022-01-06,209.89807902633797,214.84648559275033,208.09601139953418,211.78782653808594,3103400,0.0,0.0,0.003971261842374174
2022-01-07,211.50535592461438,211.78783707332695,205.3198436930257,205.62181091308594,2206500,0.0,0.0,-0.029114117302163067
2022-01-10,202.7287089823412,207.09266662597656,200.8194905188261,207.09266662597656,2232200,0.0,0.0,0.00715320863267932
2022-01-11,206.50821160182792,207.62841529482796,202.8456184827742,207.28749084472656,2287800,0.0,0.0,0.0009407586561327452
2022-01-12,210.44354972376442,210.70655962611156,205.6899745941148,207.29722595214844,2451400,0.0,0.0,4.696427836625716e-05
2022-01-13,206.96601261459696,208.06674496969208,201.05324749379298,201.63771057128906,2347400,0.0,0.0,-0.027301452563411543
2022-01-14,201.57929598456832,202.0273715261728,198.14074055612463,200.83897399902344,2209100,0.0,0.0,-0.0039612459891684715
2022-01-18,196.57246250661245,198.9979506363771,195.14054102261116,197.4491424560547,2433800,0.0,0.0,-0.016878355209010487
2022-01-19,197.90280039723396,200.88831655276388,195.1904677534921,195.69781494140625,2159600,0.325,0.0,-0.008869765109454586
2022-01-20,196.1076105738962,201.22982428291587,196.07834197226416,197.04425048828125,2844200,0.0,0.0,0.006880176701401286
2022-01-21,198.16626682704842,198.75166867456863,195.40514774729573,195.4539337158203,2633000,0.0,0.0,-0.008070861080798242
2022-01-24,193.22941945370465,195.2685447897716,186.85836237865286,195.20025634765625,4093400,0.0,0.0,-0.001297888271376002
2022-01-25,193.82457730688023,193.82457730688023,189.2877503544004,190.49757385253906,2673200,0.0,0.0,-0.024091579504596505
2022-01-26,190.45854111831113,191.34638015201912,184.10698679228582,185.21923828125,4532700,0.0,0.0,-0.027708151156691008
2022-01-27,185.70706122996341,188.08767324796042,183.0044946161913,183.09230041503906,4606200,0.0,0.0,-0.011483352841464844
